Field Name,Field Type,Status,Notes
"road_condition_loose_surface",CheckBox,MAPPED,
"road_condition_slush_on_road",CheckBox,MAPPED,
"road_condition_snow_covered",CheckBox,MAPPED,
"road_condition_wet",CheckBox,MAPPED,
"road_markings_visible_partially",CheckBox,MAPPED,
"road_markings_vsible_no",CheckBox,MAPPED,
"road_markings_vsible_yes",CheckBox,MAPPED,
"road_type_a_road",CheckBox,MAPPED,
"road_type_b_road",CheckBox,MAPPED,
"road_type_car_park",CheckBox,MAPPED,
"road_type_motorway",CheckBox,MAPPED,
"road_type_private_road",CheckBox,MAPPED,
"road_type_rural",CheckBox,MAPPED,
"road_type_urban",CheckBox,MAPPED,
"scene_photo_1_url",Text,MAPPED,
"scene_photo_2_url",Text,MAPPED,
"scene_photo_3_url",Text,MAPPED,
"seatbelt_reason",Text,MAPPED,
"seatbelt_worn",CheckBox,MAPPED,
"seatbelt_worn_no",CheckBox,MAPPED,
"six_point_safety_check_completed",CheckBox,MAPPED,
"special_condition_animals",CheckBox,MAPPED,
"special_condition_crossing",CheckBox,MAPPED,
"special_condition_cyclists",CheckBox,MAPPED,
"special_condition_narrow_road",CheckBox,MAPPED,
"special_condition_oil_spills",CheckBox,MAPPED,
"special_condition_parked_vehicles",CheckBox,MAPPED,
"special_condition_pedestrians",CheckBox,MAPPED,
"special_condition_potholes",CheckBox,MAPPED,
"special_condition_roadworks",CheckBox,MAPPED,
"special_condition_school_zone",CheckBox,MAPPED,
"special_condition_traffic_calming",CheckBox,MAPPED,
"special_condition_workmen",CheckBox,MAPPED,
"speed_limit",Text,MAPPED,
"street",Text,MAPPED,
"street_name_optional",Text,MAPPED,
"subscription_start_date",Text,MAPPED,
"surname",Text,MAPPED,
"town",Text,MAPPED,
"traffic_conditions_heavy",CheckBox,MAPPED,
"traffic_conditions_light",CheckBox,MAPPED,
"traffic_conditions_moderate",CheckBox,MAPPED,
"traffic_conditions_no_traffic",CheckBox,MAPPED,
"traffic_light_status",Text,MAPPED,
"unsure _did_not_attempt",CheckBox,MAPPED,
"user_breath_test",Text,MAPPED,
"user_manoeuvre",Text,MAPPED,
"usual_vehicle",CheckBox,MAPPED,
"vehicle_colour",Text,MAPPED,
"vehicle_condition",Text,MAPPED,
"vehicle_damage_photo_1_url",Text,MAPPED,
"vehicle_damage_photo_2_url",Text,MAPPED,
"vehicle_damage_photo_3_url",Text,MAPPED,
"vehicle_damage_photo_4_url",Text,MAPPED,
"vehicle_damage_photo_5_url",Text,MAPPED,
"vehicle_license_plate",Text,MAPPED,
"vehicle_make",Text,MAPPED,
"vehicle_model",Text,MAPPED,
"vehicle_picture_back",Text,MAPPED,
"vehicle_picture_driver_side",Text,MAPPED,
"vehicle_picture_front",Text,MAPPED,
"vehicle_picture_passenger_side",Text,MAPPED,
"visibility_large_vehicle",CheckBox,MAPPED,
"visibility_poor",CheckBox,MAPPED,
"visibility_restricted_structure",CheckBox,MAPPED,
"visibility_sun_glare",CheckBox,MAPPED,
"visibility_very_poor",CheckBox,MAPPED,
"visibilty_good",CheckBox,MAPPED,
"visibilty_street_lights",CheckBox,MAPPED,
"voice_transcription",Text,MAPPED,
"weather_bright_sunlight",CheckBox,MAPPED,
"weather_clear",CheckBox,MAPPED,
"weather_cloudy",CheckBox,MAPPED,
"weather_drizzle",CheckBox,MAPPED,
"weather_dusk",CheckBox,MAPPED,
"weather_fog",CheckBox,MAPPED,
"weather_hail",CheckBox,MAPPED,
